Date_Key	Full_Date	Day	Month	Year
20240101	1/1/2024	1	1	2024
20240102	1/2/2024	2	1	2024
20240103	1/3/2024	3	1	2024
20240104	1/4/2024	4	1	2024
20240105	1/5/2024	5	1	2024
20240106	1/6/2024	6	1	2024
20240107	1/7/2024	7	1	2024
20240108	1/8/2024	8	1	2024
20240109	1/9/2024	9	1	2024
20240110	1/10/2024	10	1	2024
20240111	1/11/2024	11	1	2024
20240112	1/12/2024	12	1	2024
20240113	1/13/2024	13	1	2024
20240114	1/14/2024	14	1	2024
20240115	1/15/2024	15	1	2024
20240116	1/16/2024	16	1	2024
20240117	1/17/2024	17	1	2024
20240118	1/18/2024	18	1	2024
20240119	1/19/2024	19	1	2024
20240120	1/20/2024	20	1	2024
20240121	1/21/2024	21	1	2024
20240122	1/22/2024	22	1	2024
20240123	1/23/2024	23	1	2024
20240124	1/24/2024	24	1	2024
20240125	1/25/2024	25	1	2024
20240126	1/26/2024	26	1	2024
20240127	1/27/2024	27	1	2024
20240128	1/28/2024	28	1	2024
20240129	1/29/2024	29	1	2024
20240130	1/30/2024	30	1	2024
20240131	1/31/2024	31	1	2024
20240201	2/1/2024	1	2	2024
20240202	2/2/2024	2	2	2024
20240203	2/3/2024	3	2	2024
20240204	2/4/2024	4	2	2024
20240205	2/5/2024	5	2	2024
20240206	2/6/2024	6	2	2024
20240207	2/7/2024	7	2	2024
20240208	2/8/2024	8	2	2024
20240209	2/9/2024	9	2	2024
20240210	2/10/2024	10	2	2024
20240211	2/11/2024	11	2	2024
20240212	2/12/2024	12	2	2024
20240213	2/13/2024	13	2	2024
20240214	2/14/2024	14	2	2024
20240215	2/15/2024	15	2	2024
20240216	2/16/2024	16	2	2024
20240217	2/17/2024	17	2	2024
20240218	2/18/2024	18	2	2024
20240219	2/19/2024	19	2	2024
20240220	2/20/2024	20	2	2024
20240221	2/21/2024	21	2	2024
20240222	2/22/2024	22	2	2024
20240223	2/23/2024	23	2	2024
20240224	2/24/2024	24	2	2024
20240225	2/25/2024	25	2	2024
20240226	2/26/2024	26	2	2024
20240227	2/27/2024	27	2	2024
20240228	2/28/2024	28	2	2024
20240229	2/29/2024	29	2	2024
20240301	3/1/2024	1	3	2024
20240302	3/2/2024	2	3	2024
20240303	3/3/2024	3	3	2024
20240304	3/4/2024	4	3	2024
20240305	3/5/2024	5	3	2024
20240306	3/6/2024	6	3	2024
20240307	3/7/2024	7	3	2024
20240308	3/8/2024	8	3	2024
20240309	3/9/2024	9	3	2024
20240310	3/10/2024	10	3	2024
20240311	3/11/2024	11	3	2024
20240312	3/12/2024	12	3	2024
20240313	3/13/2024	13	3	2024
20240314	3/14/2024	14	3	2024
20240315	3/15/2024	15	3	2024
20240316	3/16/2024	16	3	2024
20240317	3/17/2024	17	3	2024
20240318	3/18/2024	18	3	2024
20240319	3/19/2024	19	3	2024
20240320	3/20/2024	20	3	2024
20240321	3/21/2024	21	3	2024
20240322	3/22/2024	22	3	2024
20240323	3/23/2024	23	3	2024
20240324	3/24/2024	24	3	2024
20240325	3/25/2024	25	3	2024
20240326	3/26/2024	26	3	2024
20240327	3/27/2024	27	3	2024
20240328	3/28/2024	28	3	2024
