Sales_ID,Date_Key,Store_Key,Product_Key,Customer_Key,Employee_Key,Promotion_Key,Quantity,Unit_Price,Sales_Amount
1,20240907,15,509,2817,189,103,3,122.26,330.10
2,20240123,56,429,2250,53,101,2,139.31,236.83
3,20240315,42,586,642,646,76,4,142.15,369.59
4,20240416,51,405,393,426,76,2,69.31,90.10
5,20240507,33,493,2026,15,10,4,124.56,323.86
6,20240806,26,169,3781,578,71,3,37.43,78.60
7,20240806,26,124,3781,578,71,1,125.08,87.56
8,20240505,23,154,3231,770,69,1,93.52,79.49
9,20241029,61,121,814,568,12,1,84.60,59.22
10,20250815,63,190,1215,311,42,2,142.62,242.45
11,20241011,32,461,1953,747,35,2,70.22,98.31
12,20240825,53,425,2273,302,69,2,41.52,70.58
13,20240424,29,247,2385,181,10,2,87.41,113.63
14,20240901,33,566,871,589,69,3,29.64,75.58
15,20240416,51,278,393,426,44,2,41.61,66.58
16,20241215,60,157,2297,423,42,1,129.44,110.02
17,20240315,42,69,642,646,67,3,137.21,370.47
18,20240531,24,207,1760,292,3,2,19.15,30.64
19,20240707,62,559,2135,539,78,1,128.34,102.67
20,20240810,64,478,3142,471,42,4,108.06,367.40
21,20240304,8,589,2929,151,76,3,105.49,205.71
22,20240611,31,448,1542,455,35,1,39.12,27.38
23,20240104,8,168,465,788,3,3,64.56,154.94
24,20241117,44,139,375,552,3,2,35.74,57.18
25,20240408,25,284,2054,21,42,4,87.55,297.67
26,20240525,36,551,1635,170,69,3,55.85,142.42
27,20240525,36,213,1635,170,42,1,93.53,79.50
28,20240122,63,38,759,227,76,3,27.14,52.92
29,20240114,45,104,2733,85,69,4,136.15,462.91
30,20240402,31,292,1174,455,101,2,143.91,244.65
31,20240820,15,239,3965,189,44,3,8.14,19.54
32,20240810,64,321,3142,471,42,1,87.59,74.45
33,20241118,42,536,83,215,42,1,171.95,146.16
34,20250316,14,592,90,695,10,1,108.18,70.32
35,20240723,6,566,3190,196,10,1,23.89,15.53
36,20240214,46,297,1785,318,35,4,133.85,374.78
37,20240819,41,236,2437,241,44,1,121.01,96.81
38,20240507,64,255,2524,471,69,3,89.52,228.28
39,20240201,22,548,2287,581,78,3,38.28,91.87
40,20241018,23,322,859,770,103,3,75.46,203.74
41,20250331,16,256,1719,284,44,3,149.23,358.15
42,20241220,27,88,3560,313,42,3,9.97,25.42
43,20240105,26,420,1604,358,42,1,75.95,64.56
44,20240317,12,563,2714,349,44,4,101.77,325.66
45,20240218,43,228,3167,547,35,3,97.51,204.77
46,20241018,23,217,859,770,71,1,112.75,78.93
47,20240830,46,370,2287,318,71,3,82.99,174.28
48,20240913,59,358,3737,422,12,1,12.30,8.61
49,20241004,18,330,1081,14,44,4,81.81,261.79
50,20240615,9,65,3496,73,1,3,131.09,353.94
51,20240612,13,159,3111,123,35,1,71.49,50.04
52,20240110,24,27,3288,513,3,4,38.07,121.82
53,20241204,52,480,1067,127,78,2,136.67,218.67
54,20240709,22,263,392,218,112,3,69.87,157.21
55,20240223,18,449,1067,14,101,1,59.25,50.36
56,20241111,62,508,958,539,101,2,99.13,168.52
57,20240418,38,76,1067,790,101,2,50.97,86.65
58,20240228,5,130,3603,140,1,3,99.22,267.89
59,20240805,51,133,3445,24,69,2,12.80,21.76
60,20240427,43,389,901,185,78,1,157.72,126.18
61,20240812,49,255,223,540,35,2,89.77,125.68
62,20240503,34,501,2513,722,1,4,40.91,147.28
63,20240717,52,206,1965,707,44,3,47.18,113.23
64,20240523,26,235,3540,669,101,2,133.76,227.39
65,20240603,23,154,330,NULL,69,3,82.09,209.33
66,20240405,32,354,3427,549,110,2,72.18,101.05
67,20240209,22,317,3516,581,112,4,89.31,267.93
68,20250310,13,340,2012,135,1,3,43.97,118.72
69,20250827,37,253,3683,535,67,2,36.85,66.33
70,20240716,24,84,3913,292,3,2,85.11,136.18
71,20240124,60,161,2862,423,42,4,38.01,129.23
72,20240825,44,505,2082,30,42,1,112.52,95.64
73,20250622,33,264,1406,15,101,2,33.46,56.88
74,20240501,25,194,3090,536,44,1,59.04,47.23
75,20240529,24,7,595,292,37,2,57.86,115.72
76,20240421,60,471,1591,423,112,2,156.54,234.81
77,20240329,8,81,3823,151,1,3,135.39,365.55
78,20240626,23,334,926,NULL,101,1,65.91,56.02
79,20240904,24,90,1030,513,1,4,137.81,496.12
80,20240701,9,511,2310,73,67,2,73.99,133.18
81,20240227,43,64,2559,185,69,1,71.82,61.05
82,20240508,22,130,1994,581,44,4,98.63,315.62
83,20240430,26,124,2093,358,101,2,100.93,171.58
84,20240105,62,331,336,543,101,2,135.77,230.81
85,20240705,49,592,674,540,67,3,89.15,240.71
86,20240105,62,57,336,543,3,3,30.00,72.00
87,20240705,49,234,674,540,12,2,80.72,113.01
88,20240707,55,221,2803,624,78,2,69.26,110.82
89,20251027,29,502,1713,181,103,1,93.88,84.49
90,20250331,10,469,565,485,10,1,58.93,38.30
91,20250222,25,2,3242,21,69,3,81.16,206.96
92,20250909,30,333,3348,494,1,3,31.56,85.21
93,20240814,63,576,2980,311,87,4,123.36,493.44
94,20240202,49,393,2488,540,53,2,98.02,176.44
95,20240222,52,129,3364,86,96,1,78.67,51.14
96,20240531,24,590,1760,292,92,3,108.41,211.40
97,20240928,51,203,3056,426,94,1,130.73,124.19
98,20240223,55,90,1274,732,87,4,151.43,605.72
99,20240430,42,414,3180,646,96,1,58.14,37.79
100,20241126,52,121,140,707,53,3,72.07,194.59
101,20240119,5,268,1127,140,17,4,90.82,345.12
102,20240826,55,18,771,57,17,3,145.84,415.64
103,20241127,5,518,2815,140,119,4,46.93,131.40
104,20250227,64,409,2812,71,53,1,38.13,34.32
105,20250708,56,309,2199,53,85,3,153.32,298.97
106,20250917,13,488,3291,94,117,1,82.09,73.88
107,20240508,51,265,3920,426,87,2,145.79,291.58
108,20240403,34,266,3347,519,119,1,106.08,74.26
109,20240925,38,532,1669,790,28,1,55.43,52.66
110,20240304,8,369,2929,151,26,3,9.07,19.05
111,20240808,52,560,500,707,19,3,114.62,240.70
112,20240602,52,44,3965,127,26,1,19.98,13.99
