Order_ID,Customer_ID,Warehouse_ID,Order_Time,Order_Status,Order_Total
1,1801,8,2024-03-08 06:06:58,Delivered,512.51
2,1867,8,2025-04-26 16:12:25,Cancelled,406.91
3,1852,4,2024-02-27 22:49:28,Cancelled,230.82
4,3172,2,2025-06-13 07:50:59,Delivered,305.92
5,2337,5,2025-10-21 02:31:22,Processing,574.28
6,2021,7,2024-02-29 01:42:53,Delivered,74.87
7,3912,4,2024-08-16 07:05:40,Processing,254.85
8,1721,6,2025-09-24 13:33:30,Shipped,287.98
9,2105,3,2024-02-09 09:42:50,Delivered,126.84
10,110,1,2025-08-01 13:52:50,Returned,776.79
11,1557,5,2025-11-18 00:58:14,Delivered,160.21
12,2476,5,2025-01-23 00:53:57,Delivered,734.51
13,1073,6,2025-07-06 08:25:31,Delivered,183.12
14,2496,2,2024-04-08 05:14:55,Shipped,610.45
15,3740,4,2025-05-29 10:15:33,Processing,266.8
16,316,6,2024-07-14 19:28:50,Shipped,662.48
17,2435,6,2025-06-26 17:42:13,Shipped,152.76
18,3090,8,2024-11-02 23:04:49,Delivered,882.67
19,3117,4,2024-05-15 09:21:57,Delivered,496.52
20,312,5,2025-06-23 13:59:57,Delivered,865.86
21,3535,4,2024-11-01 18:08:13,Processing,185.35
22,2641,7,2025-08-20 19:28:31,Delivered,525.22
23,776,2,2025-11-23 23:07:38,Returned,544.54
24,3223,8,2024-12-08 08:22:50,Delivered,458.36
25,3332,8,2025-06-03 12:14:54,Pending,466.89
26,1504,6,2025-10-06 17:04:08,Processing,222.34
27,3613,6,2024-01-30 13:57:27,Pending,393.7
28,1635,5,2024-11-11 23:06:19,Delivered,144.92
29,3359,7,2024-01-12 11:28:53,Pending,387.9
30,3989,3,2025-03-02 22:51:23,Delivered,158.37
31,3285,7,2024-08-06 00:27:11,Cancelled,442.84
32,3331,1,2024-11-20 15:36:45,Delivered,76.92
33,1392,1,2025-05-31 04:32:36,Shipped,343.41
34,744,1,2024-10-19 13:06:13,Delivered,137.72
35,3857,8,2024-08-01 07:51:32,Delivered,12.21
36,2543,6,2025-01-17 20:20:29,Processing,327.64
37,3641,6,2025-07-12 21:42:53,Delivered,350.67
38,3326,3,2025-10-23 23:07:06,Delivered,480.84
39,1952,5,2024-08-03 01:21:06,Pending,256.22
40,1162,6,2024-11-07 00:36:06,Delivered,305.16
41,3171,7,2024-07-23 23:43:25,Delivered,734.38
42,1880,4,2024-09-18 20:31:25,Pending,269.98
43,2185,6,2024-08-06 17:22:17,Delivered,58.46
44,851,2,2024-09-17 13:30:28,Cancelled,497.25
45,52,3,2025-09-23 22:18:29,Delivered,800.61
46,3057,1,2024-07-02 22:13:16,Pending,483.63
47,429,2,2025-08-05 08:40:09,Shipped,546.89
48,1375,8,2025-05-01 01:09:38,Delivered,321.78
49,1174,3,2024-04-22 19:41:00,Shipped,33.66
50,2849,4,2025-11-14 19:12:28,Shipped,1181.56
51,3022,5,2024-07-19 16:10:36,Delivered,223.2
52,1372,3,2025-06-23 04:17:57,Delivered,301
53,1499,1,2024-02-05 20:15:28,Delivered,162.83
54,3970,7,2025-10-06 10:43:05,Delivered,4.43
55,3859,7,2024-12-30 15:24:15,Delivered,59.34
56,1334,1,2024-05-18 03:57:18,Delivered,114.94
57,2466,5,2024-10-31 01:41:32,Delivered,500.82
58,1848,7,2024-04-04 07:15:08,Delivered,193.08
59,3680,6,2024-03-24 10:53:41,Delivered,450.86
60,1037,2,2024-08-29 01:52:19,Delivered,486.68
61,1445,6,2025-11-04 05:34:57,Pending,260.16
62,1637,3,2024-02-05 07:25:49,Shipped,353.66
63,75,6,2024-12-08 03:32:45,Returned,371.98
64,3018,1,2025-05-29 09:25:24,Delivered,250.53
65,3354,5,2025-11-27 17:42:10,Delivered,304.47
66,49,1,2024-12-15 21:05:11,Delivered,372.06
67,3398,2,2024-02-29 07:01:54,Shipped,225.68
68,1544,1,2024-09-22 02:07:27,Delivered,535.98
69,3058,2,2025-04-08 00:44:41,Delivered,311.51
70,390,4,2025-08-15 05:40:01,Delivered,
71,3496,6,2024-05-04 19:46:48,Processing,480.31
72,2033,2,2024-05-10 03:51:58,Delivered,289.11
73,752,7,2024-02-25 17:03:49,Processing,539.61
74,619,8,2025-01-23 07:55:38,Processing,428.75
75,3667,5,2025-03-12 03:14:23,Delivered,321.08
76,3426,7,2025-07-16 22:45:53,Processing,7.57
77,2228,7,2025-07-14 01:09:54,Delivered,450.88
78,379,1,2025-07-24 15:21:02,Processing,688.9
79,1617,8,2024-01-14 12:42:20,Processing,53.91
80,3054,3,2025-12-13 09:17:55,Shipped,395.24
81,3156,6,2024-01-04 05:22:23,Shipped,267.18
82,3365,3,2025-10-27 05:55:07,Shipped,397.77
83,3853,2,2025-07-27 08:55:34,Delivered,77.74
84,3796,4,2025-10-28 13:46:09,Shipped,377.6
85,3460,7,2025-02-07 21:30:07,Cancelled,636.84
86,2582,4,2024-08-05 19:30:43,Cancelled,638.94
87,2461,4,2025-03-01 20:40:42,Shipped,
88,970,5,2025-01-31 06:03:26,Cancelled,298.12
89,1770,1,2025-02-20 22:44:29,Delivered,
90,2386,1,2024-05-21 21:16:20,Pending,165
91,3464,8,2024-08-22 17:56:13,Cancelled,620.43
92,4000,6,2024-05-28 13:25:33,Processing,771.12
93,596,5,2024-12-15 21:10:50,Pending,156.68
94,1559,4,2024-09-16 11:58:57,Delivered,379.44
95,3779,3,2025-06-22 05:28:39,Delivered,422.52
96,1779,1,2024-03-07 18:02:52,Delivered,254.96
97,3036,4,2024-07-11 06:36:56,Returned,135.33
98,372,3,2025-05-13 05:06:35,Pending,818.52
99,920,8,2024-07-12 12:14:12,Shipped,10.92
100,3380,3,2024-08-26 02:24:41,Delivered,518.93
101,2006,8,2025-04-29 05:25:23,Pending,513.61
102,3817,1,2024-05-06 18:13:42,Pending,288.66
103,2336,5,2024-07-05 16:29:56,Cancelled,558.3
104,875,3,2024-08-22 10:05:06,Delivered,49.48
105,3444,2,2025-10-14 16:00:06,Delivered,
106,2088,6,2025-08-05 08:26:38,Delivered,734.23
107,3990,7,2025-08-01 16:23:58,Shipped,625.8
108,1767,4,2024-10-09 13:10:27,Shipped,130.48
109,1894,7,2025-12-13 01:06:26,Delivered,440.86
110,2414,7,2025-03-23 18:07:06,Pending,417.69
111,243,6,2024-10-23 10:07:08,Delivered,404.31
112,3282,3,2024-10-30 15:49:28,Delivered,240.63
113,1474,8,2025-10-25 08:39:17,Delivered,299.85
114,2904,3,2025-01-16 07:50:53,Delivered,224.32
115,3082,5,2024-01-27 10:04:43,Shipped,200.86
116,3411,5,2025-05-31 17:00:13,Shipped,357.06
117,3199,3,2024-06-12 11:53:43,Processing,714.38
118,3008,7,2025-09-25 22:52:45,Shipped,413.19
119,1475,8,2024-08-12 19:41:46,Processing,486.34
120,1002,8,2024-08-29 04:03:39,Processing,285.46
121,2553,4,2025-05-23 10:14:29,Delivered,576.67
122,202,6,2024-07-31 17:11:00,Cancelled,659.27
123,3333,3,2025-04-23 17:34:32,Delivered,433.35
124,1265,2,2025-10-17 16:49:27,Shipped,1017.75
125,3221,7,2024-06-15 20:00:43,Delivered,240.43
126,1156,7,2025-04-01 22:54:17,Pending,524.42
127,157,5,2025-09-20 07:40:34,Processing,
128,1445,4,2024-02-20 15:26:36,Processing,
129,1675,4,2025-01-21 03:18:30,Processing,255.44
130,3798,5,2025-01-10 05:51:54,Delivered,106.03
131,1030,8,2025-07-23 19:56:34,Pending,717.86
132,3647,1,2025-11-27 03:44:04,Processing,580.33
133,417,4,2025-06-20 22:06:24,Shipped,568.72
134,3295,8,2025-09-19 17:36:45,Shipped,688.45
135,1448,3,2024-05-09 23:27:44,Processing,558.32
136,976,1,2024-12-02 09:46:33,Processing,
137,2842,8,2025-05-24 11:03:35,Delivered,394.7
138,275,3,2024-03-02 05:39:20,Processing,
139,811,5,2024-09-14 09:07:14,Shipped,416.71
140,661,8,2025-10-21 03:36:38,Delivered,64.2
141,1867,1,2025-01-08 01:34:42,Shipped,159.94
142,2626,2,2025-02-14 18:18:19,Pending,291.72
143,2913,2,2024-12-10 02:03:48,Delivered,398.75
144,1493,4,2024-09-13 16:43:10,Delivered,1114.67
145,2407,6,2024-02-16 12:28:10,Shipped,530.59
146,2441,5,2024-05-09 18:45:48,Pending,172.8
147,1064,1,2024-10-24 10:25:24,Returned,347.92
148,30,1,2025-06-22 12:03:10,Delivered,143.8
149,402,4,2025-07-05 09:48:18,Cancelled,588.87
150,2937,5,2025-07-18 01:36:03,Delivered,104.36
151,2922,2,2024-02-05 18:20:57,Delivered,751.11
152,1129,6,2025-09-06 20:23:09,Cancelled,521.45
153,1625,2,2025-10-05 11:50:14,Processing,290.88
154,2817,7,2024-04-12 02:55:32,Shipped,237.79
155,1223,7,2025-06-13 14:55:33,Processing,765.77
156,2624,8,2024-03-08 10:04:03,Pending,286.46
157,2367,5,2025-01-15 12:13:53,Pending,970.83
158,1584,6,2025-02-02 23:13:21,Pending,242.17
159,1878,5,2025-01-06 00:11:02,Delivered,
160,3633,3,2024-08-23 16:40:15,Shipped,801.46
161,101,5,2025-12-07 17:33:25,Processing,52.73
162,2989,6,2025-09-13 15:49:24,Shipped,169.32
163,3202,3,2025-04-21 23:01:01,Delivered,497.17
164,3321,8,2025-08-12 15:59:38,Shipped,478.13
165,61,8,2024-02-13 00:52:39,Delivered,404.5
166,1697,4,2025-06-09 14:36:38,Delivered,96.23
167,2204,6,2025-04-21 13:05:20,Pending,51.98
168,243,5,2024-09-13 04:45:40,Pending,12.38
169,1763,7,2024-08-05 20:45:05,Shipped,437
170,630,2,2024-05-02 19:04:04,Delivered,360.94
171,3222,4,2025-01-06 07:58:12,Shipped,575.7
172,1489,5,2025-03-02 03:03:09,Cancelled,108.62
173,1878,5,2024-03-15 13:55:43,Delivered,90.42
174,1747,7,2024-06-24 12:55:01,Cancelled,583.78
175,3713,1,2025-07-31 05:17:32,Delivered,196.58
176,830,3,2024-10-09 08:09:13,Delivered,369.8
177,3102,1,2025-09-08 07:03:31,Cancelled,381.74
178,3154,2,2024-02-07 00:13:01,Cancelled,765.38
179,1231,1,2024-02-11 14:11:30,Pending,383.43
180,3489,8,2024-01-23 06:15:47,Cancelled,552.65
181,3077,4,2025-03-10 02:19:11,Shipped,724.67
182,333,4,2024-01-19 18:36:46,Delivered,378.42
183,645,2,2024-04-23 01:15:04,Pending,566.98
184,2670,5,2025-09-25 03:41:58,Pending,175.17
185,1751,8,2024-12-08 03:53:08,Delivered,361.65
186,2659,5,2025-02-27 15:06:30,Pending,754.32
187,1295,3,2025-01-02 19:16:43,Pending,438.3
188,1133,4,2024-03-26 13:37:33,Pending,558.35
189,1464,7,2024-03-30 14:48:50,Shipped,41.54
190,3975,3,2025-03-09 14:47:50,Shipped,31.02
191,531,6,2025-09-02 05:55:45,Pending,
192,203,5,2024-03-23 01:59:40,Shipped,835.01
193,1219,8,2025-10-30 21:13:14,Delivered,
194,1402,7,2024-05-16 21:39:35,Processing,73.79
195,3416,3,2025-09-20 19:22:48,Delivered,548.41
