Order_Item_ID,Order_ID,Product_ID,Promotion_ID,Quantity,Unit_Price
1,1,557,87,2,161.35
2,1,126,86,3,63.27
3,2,425,64,1,78.41
4,2,87,120,2,111.76
5,2,365,21,2,28.34
6,2,499,63,1,48.3
7,3,265,107,2,115.41
8,4,474,95,2,152.96
9,5,4,50,2,169.24
10,5,47,30,3,78.6
11,6,457,23,3,14.25
12,6,222,104,2,16.06
13,7,406,72,1,114.13
14,7,18,11,1,82.9
15,7,394,70,1,57.82
16,8,190,120,2,71.3
17,8,197,27,1,145.38
18,9,31,51,2,63.42
19,10,112,38,3,129.32
20,10,93,8,3,129.61
21,11,512,119,1,31.95
22,11,61,59,1,63.73
23,11,234,47,1,64.53
24,12,103,29,3,147.63
25,12,598,67,2,145.81
26,13,440,25,3,51.27
27,13,348,43,3,9.77
28,14,49,49,2,153.23
29,14,341,,3,101.33
30,15,162,91,3,80.65
31,15,158,112,1,24.85
32,16,451,108,3,144.38
33,16,541,68,2,114.67
34,17,420,87,1,32.22
35,17,84,65,1,120.54
36,18,557,114,1,162.41
37,18,373,79,2,142.93
38,18,431,38,2,131.15
39,18,505,93,2,86.05
40,19,230,91,3,41.93
41,19,432,69,2,156.89
42,19,450,,1,56.95
43,20,120,104,3,93.16
44,20,324,22,2,117.93
45,20,300,50,3,116.84
46,21,520,9,1,16.2
47,21,457,93,1,14.98
48,21,320,14,3,51.39
49,22,361,14,2,39.49
50,22,337,87,2,23.5
51,22,278,15,3,116.18
52,22,146,63,3,16.9
53,23,144,14,3,30.1
54,23,282,3,1,162.25
55,23,120,65,3,97.33
56,24,319,80,2,109.1
57,24,552,112,1,101
58,24,283,87,2,69.58
59,25,70,94,1,149.09
60,25,593,113,3,83.06
61,25,313,96,1,4.75
62,25,123,68,1,63.87
63,26,57,35,1,91.14
64,26,153,6,1,62.74
65,26,129,,2,34.23
66,27,387,4,2,66.76
67,27,172,42,2,105.6
68,27,528,88,2,24.49
69,28,526,71,1,101.84
70,28,201,41,1,43.08
71,29,297,36,2,124.81
72,29,475,36,1,138.28
73,30,587,58,2,60.33
74,30,19,62,3,12.57
75,31,306,89,2,132.48
76,31,47,60,2,88.94
77,32,392,89,2,38.46
78,33,74,,1,80.27
79,33,512,33,1,27.54
80,33,594,35,2,117.8
81,34,389,2,2,68.86
82,35,414,118,3,4.07
83,36,42,,2,98.42
84,36,251,19,2,65.4
85,37,274,,3,50.11
86,37,565,113,2,52.99
87,37,39,66,1,94.36
88,38,420,43,3,36.84
89,38,598,58,3,123.44
90,39,566,89,2,16.84
91,39,496,61,3,58.47
92,39,424,15,3,15.71
93,40,32,21,1,132.42
94,40,497,4,2,86.37
95,41,251,114,2,65.3
96,41,314,46,2,77.36
97,41,537,55,2,88.66
98,41,517,14,2,135.87
99,42,422,4,1,36.97
100,42,506,25,2,105.91
101,42,291,96,1,21.19
102,43,129,17,2,29.23
103,44,358,94,1,105.72
104,44,145,18,3,37.42
105,44,98,12,3,93.09
106,45,299,70,3,153.15
107,45,1,3,3,113.72
108,46,578,29,2,47.01
109,46,591,,3,95.01
110,46,22,21,2,52.29
111,47,250,26,2,100.66
112,47,300,61,3,115.19
113,48,218,9,3,107.26
114,49,599,20,2,16.83
115,50,432,19,3,
116,50,396,67,3,79.78
117,50,597,105,2,143.53
118,50,479,47,2,76.84
119,51,198,45,2,
120,51,564,67,1,79.56
121,52,556,12,2,150.5
122,53,194,8,3,4.67
123,53,51,94,1,33.52
124,53,66,116,1,79.72
125,53,199,75,3,11.86
126,54,72,73,1,4.43
127,55,365,106,2,29.67
128,56,295,26,2,57.47
129,57,549,22,3,23.07
130,57,226,44,3,143.87
131,58,450,56,3,64.36
132,59,68,5,2,145.95
133,59,425,97,1,64.82
134,59,73,36,2,47.07
135,60,576,32,1,129.56
136,60,33,13,3,119.04
137,61,487,47,3,86.72
138,62,201,41,2,49.85
139,62,84,38,2,126.98
140,63,457,16,2,15.44
141,63,404,29,3,113.7
142,64,572,76,1,134.28
143,64,48,84,2,7.32
144,64,325,119,1,101.61
145,65,57,84,3,101.49
146,66,253,4,2,38.41
147,66,93,46,2,147.62
148,67,202,85,1,108.74
149,67,227,31,3,38.98
150,68,183,17,1,105.9
151,68,443,73,2,116.09
152,68,24,77,2,98.95
153,69,459,107,2,141.31
154,69,512,94,1,28.89
155,70,262,119,3,92.71
156,70,16,120,3,130.97
157,71,115,93,3,107.55
158,71,187,100,2,78.83
159,72,28,91,1,96.27
160,72,419,118,3,39
161,72,231,41,3,25.28
162,73,131,105,3,86.02
163,73,496,49,3,58.37
164,73,440,24,2,53.22
165,74,174,26,2,102.93
166,74,292,30,2,66.28
167,74,100,19,1,90.33
168,75,402,56,2,160.54
169,76,454,58,1,7.57
170,77,264,69,3,13.67
171,77,75,27,1,50.83
172,77,415,87,3,119.68
173,78,501,38,2,53.2
174,78,452,107,2,161.24
175,78,226,35,2,
176,79,310,3,3,17.97
177,80,131,74,2,87.22
178,80,285,18,2,41.28
179,80,187,62,2,69.12
180,81,53,101,3,89.06
181,82,495,11,1,160.57
182,82,1,95,2,118.6
183,83,122,50,2,27.78
184,83,308,19,1,22.18
185,84,463,99,1,71.9
186,84,326,110,3,46.47
187,84,343,100,3,55.43
188,85,196,8,3,131.66
189,85,524,,2,39.95
190,85,422,70,2,36.57
191,85,555,6,2,44.41
192,86,460,,3,116.22
193,86,458,95,3,96.76
194,87,148,87,2,124.19
195,87,106,87,1,69.05
196,87,69,19,3,82.78
197,88,20,37,2,114.74
198,88,381,101,1,68.64
199,89,533,86,1,102.97
200,89,323,77,1,162.63
201,89,509,103,3,51.93
202,89,38,,3,42.44
203,90,551,15,3,55
204,91,54,67,3,111.88
205,91,183,110,1,128.55
206,91,107,110,1,156.24
207,92,297,22,3,116.7
208,92,243,107,3,140.34
209,93,590,88,1,108.62
210,93,508,30,2,24.03
211,94,14,61,1,148.59
212,94,448,2,1,102.38
213,94,397,112,1,128.47
214,95,475,87,3,140.84
215,96,250,80,1,98.43
216,96,50,13,1,156.53
217,97,208,90,3,45.11
218,98,305,71,3,131.62
219,98,183,8,1,124.48
220,98,435,54,1,82.61
221,98,430,86,3,72.19
222,99,36,10,2,5.46
223,100,70,100,2,131.92
224,100,136,88,3,85.03
225,101,315,64,3,95.23
226,101,540,73,2,90.11
227,101,332,83,1,47.7
228,102,247,67,2,69.96
229,102,102,77,1,148.74
230,103,269,65,2,23.57
231,103,153,37,1,72.15
232,103,595,67,1,101.93
233,103,212,75,3,112.36
234,104,348,19,1,8.72
235,104,214,9,2,20.38
236,105,262,91,2,104.06
237,105,480,100,2,33.03
238,105,247,5,2,65.86
239,105,430,108,3,84.54
240,106,52,51,2,83.87
241,106,265,8,3,115.62
242,106,182,119,3,73.21
243,107,269,113,3,22.23
244,107,5,115,3,53.43
245,107,156,67,3,132.94
246,108,337,60,1,22.6
247,108,183,67,1,
248,109,30,84,2,103.68
249,109,492,80,2,26.63
250,109,165,34,2,90.12
251,110,347,40,3,32.22
