Payment_ID,Order_ID,Payment_Method,Payment_Amount,Payment_Time
1,1,Gift Card,512.51,2024-03-11 04:06:58
2,2,Debit Card,406.91,2025-04-27 05:12:25
3,3,Mobile Wallet,230.82,2024-02-28 02:49:28
4,4,Gift Card,305.92,2025-06-14 23:50:59
5,5,Gift Card,574.28,2025-10-23 19:31:22
6,6,Credit Card,74.87,2024-02-29 07:42:53
7,7,Credit Card,254.85,2024-08-16 20:05:40
8,8,Debit Card,287.98,2025-09-24 22:33:30
9,9,Cash,126.84,2024-02-10 15:42:50
10,10,Cash,776.79,2025-08-04 11:52:50
11,11,Mobile Wallet,160.21,2025-11-19 04:58:14
12,12,Mobile Wallet,734.51,2025-01-24 17:53:57
13,13,Debit Card,183.12,2025-07-07 07:25:31
14,14,Debit Card,610.45,2024-04-08 14:14:55
15,15,Gift Card,266.8,2025-05-31 16:15:33
16,16,Cash,662.48,2024-07-15 07:28:50
17,17,Debit Card,152.76,2025-06-29 04:42:13
18,18,Credit Card,960.09,2024-11-04 14:04:49
19,19,Gift Card,496.52,2024-05-15 16:21:57
20,20,Cash,865.86,2025-06-23 14:59:57
21,21,Debit Card,185.35,2024-11-03 03:08:13
22,22,Gift Card,525.22,2025-08-21 21:28:31
23,23,Gift Card,544.54,2025-11-25 02:07:38
24,24,Mobile Wallet,458.36,2024-12-11 05:22:50
25,25,Gift Card,466.89,2025-06-03 21:14:54
26,26,Credit Card,222.34,2025-10-07 16:04:08
27,27,Credit Card,393.7,2024-01-31 21:57:27
28,28,Gift Card,144.92,2024-11-12 16:06:19
29,29,Cash,387.9,2024-01-14 14:28:53
30,30,Gift Card,158.37,2025-03-04 01:51:23
31,31,Debit Card,442.84,2024-08-08 02:27:11
32,32,Debit Card,76.92,2024-11-22 02:36:45
33,33,Gift Card,343.41,2025-05-31 14:32:36
34,34,Mobile Wallet,137.72,2024-10-19 13:06:13
35,35,Cash,12.21,2024-08-01 16:51:32
36,36,Debit Card,327.64,2025-01-19 01:20:29
37,37,Debit Card,350.67,2025-07-14 05:42:53
38,38,Mobile Wallet,480.84,2025-10-25 22:07:06
39,39,Gift Card,256.22,2024-08-05 04:21:06
40,40,Gift Card,305.16,2024-11-07 13:36:06
41,41,Credit Card,,2024-07-25 13:43:25
42,42,Debit Card,269.98,2024-09-20 01:31:25
43,43,Mobile Wallet,58.46,2024-08-07 18:22:17
44,44,Credit Card,497.25,2024-09-17 19:30:28
45,45,Cash,800.61,2025-09-25 07:18:29
46,46,Debit Card,483.63,2024-07-04 07:13:16
47,47,Credit Card,546.89,2025-08-06 20:40:09
48,48,Debit Card,321.78,2025-05-02 10:09:38
49,49,Mobile Wallet,33.66,2024-04-23 05:41:00
50,50,Mobile Wallet,1181.56,2025-11-15 12:12:28
51,51,Credit Card,223.2,2024-07-21 05:10:36
52,52,Mobile Wallet,301,2025-06-25 07:17:57
53,53,Mobile Wallet,162.83,2024-02-08 09:15:28
54,54,Cash,4.43,2025-10-08 04:43:05
55,55,Gift Card,59.34,2024-12-31 07:24:15
56,56,Mobile Wallet,114.94,2024-05-20 21:57:18
57,57,Debit Card,500.82,2024-11-02 22:41:32
58,58,Gift Card,147.46,2024-04-06 09:15:08
59,59,Gift Card,450.86,2024-03-25 05:53:41
60,60,Mobile Wallet,486.68,2024-08-29 17:52:19
61,61,Credit Card,260.16,2025-11-07 03:34:57
62,62,Cash,353.66,2024-02-07 04:25:49
63,63,Credit Card,371.98,2024-12-10 12:32:45
64,64,Debit Card,250.53,2025-06-01 05:25:24
65,65,Gift Card,304.47,2025-11-30 06:42:10
66,66,Cash,372.06,2024-12-16 21:05:11
