Transaction_ID,Store_ID,Register_ID,Employee_ID,Customer_ID,Transaction_Time
TXN-20250406-000001,15,50,1,1456,2025-04-06 17:02:30
TXN-20240809-000002,17,58,333,2581,2024-08-09 17:51:45
TXN-20241212-000003,53,180,359,3392,2024-12-12 09:53:04
TXN-20241130-000004,19,65,512,2343,2024-11-30 18:28:40
TXN-20250321-000005,4,13,649,1904,2025-03-21 11:08:58
TXN-20240817-000006,51,172,537,1454,2024-08-17 17:24:38
TXN-20251127-000007,9,29,693,791,2025-11-27 15:35:41
TXN-20240525-000008,8,27,500,2088,2024-05-25 07:34:43
TXN-20250816-000009,28,96,303,3379,2025-08-16 00:40:09
TXN-20241012-000010,56,192,82,3105,2024-10-12 22:42:05
TXN-20240627-000011,16,52,706,2844,2024-06-27 20:50:20
TXN-20240528-000012,45,151,115,2677,2024-05-28 01:00:03
TXN-20240731-000013,38,129,258,2768,2024-07-31 17:32:13
TXN-20251007-000014,31,106,232,2253,2025-10-07 11:48:53
TXN-20240519-000015,23,78,744,3238,2024-05-19 02:53:16
TXN-20250422-000016,40,137,757,2831,2025-04-22 05:13:39
TXN-20250602-000017,22,76,427,679,2025-06-02 17:45:09
TXN-20250125-000018,22,76,464,3921,2025-01-25 11:24:50
TXN-20240927-000019,19,64,430,83,2024-09-27 02:49:17
TXN-20250108-000020,59,200,196,1730,2025-01-08 15:56:23
TXN-20241127-000021,11,37,25,2947,2024-11-27 18:36:38
TXN-20251210-000022,6,21,56,2721,2025-12-10 16:47:26
TXN-20240416-000023,64,216,111,758,2024-04-16 16:12:46
TXN-20240624-000024,1,1,510,2318,2024-06-24 15:03:48
TXN-20241208-000025,10,34,519,1562,2024-12-08 09:49:39
TXN-20250724-000026,36,122,362,263,2025-07-24 01:07:35
TXN-20251220-000027,62,211,307,3273,2025-12-20 09:58:37
TXN-20240702-000028,45,151,335,693,2024-07-02 11:16:21
TXN-20240418-000029,63,214,782,1057,2024-04-18 18:52:04
TXN-20251118-000030,3,8,652,2045,2025-11-18 12:01:35
TXN-20241023-000031,6,20,469,3007,2024-10-23 03:19:41
TXN-20251104-000032,30,103,761,2097,2025-11-04 15:06:41
TXN-20250705-000033,1,4,647,2702,2025-07-05 02:51:41
TXN-20240819-000034,61,207,755,3818,2024-08-19 21:41:54
TXN-20251205-000035,64,217,111,330,2025-12-05 16:38:40
TXN-20240415-000036,48,163,551,1790,2024-04-15 19:16:39
TXN-20240729-000037,39,134,95,1061,2024-07-29 00:23:18
TXN-20250830-000038,14,46,58,1415,2025-08-30 21:15:45
TXN-20250228-000039,17,56,754,886,2025-02-28 03:29:47
TXN-20250115-000040,31,107,18,928,2025-01-15 12:16:17
TXN-20250130-000041,45,154,552,790,2025-01-30 01:58:43
TXN-20240303-000042,63,213,785,592,2024-03-03 22:31:51
TXN-20240119-000043,3,11,652,1099,2024-01-19 22:18:05
TXN-20240430-000044,26,89,391,3654,2024-04-30 02:02:10
TXN-20240102-000045,41,140,511,1697,2024-01-02 19:25:50
TXN-20240905-000046,7,24,650,3365,2024-09-05 02:06:00
TXN-20240711-000047,55,188,231,466,2024-07-11 00:09:34
TXN-20240703-000048,27,90,522,1159,2024-07-03 17:38:52
TXN-20250114-000049,41,138,254,54,2025-01-14 05:05:54
TXN-20240505-000050,45,151,552,1481,2024-05-05 07:34:57
TXN-20241205-000051,6,20,594,278,2024-12-05 15:34:35
TXN-20240603-000052,60,204,204,2324,2024-06-03 13:27:28
TXN-20241104-000053,6,20,56,610,2024-11-04 04:28:54
TXN-20240713-000054,56,191,244,3563,2024-07-13 15:40:49
TXN-20241013-000055,41,140,448,3994,2024-10-13 13:34:27
TXN-20251120-000056,62,211,316,983,2025-11-20 01:41:17
TXN-20250614-000057,27,91,163,2833,2025-06-14 19:07:12
TXN-20250713-000058,4,14,169,3174,2025-07-13 15:51:24
TXN-20250512-000059,53,179,516,841,2025-05-12 07:02:46
