Line_ID,Transaction_ID,Product_ID,Promotion_ID,Quantity,Unit_Price
1,TXN-20250406-000001,57,116,2,105.48
2,TXN-20250406-000001,19,118,1,13.27
3,TXN-20250406-000001,289,,3,83.23
4,TXN-20250406-000001,552,36,3,111.01
5,TXN-20240809-000002,274,88,3,
6,TXN-20240809-000002,345,101,4,103
7,TXN-20241212-000003,4,67,3,134.66
8,TXN-20241212-000003,350,82,2,103.65
9,TXN-20241212-000003,461,88,2,117.87
10,TXN-20241212-000003,482,85,2,56.36
11,TXN-20241130-000004,510,66,1,103.76
12,TXN-20241130-000004,596,105,3,51.07
13,TXN-20241130-000004,162,,4,93.01
14,TXN-20241130-000004,241,98,4,39.91
15,TXN-20250321-000005,177,41,3,71.3
16,TXN-20250321-000005,48,72,1,8.44
17,TXN-20240817-000006,479,57,3,70.16
18,TXN-20240817-000006,109,67,4,42.53
19,TXN-20251127-000007,23,38,4,94.87
20,TXN-20251127-000007,181,44,3,124.57
21,TXN-20251127-000007,76,55,3,100.39
22,TXN-20240525-000008,48,20,1,7.51
23,TXN-20250816-000009,492,101,3,23.47
24,TXN-20241012-000010,566,43,1,
25,TXN-20241012-000010,592,73,3,40.12
26,TXN-20240627-000011,431,3,3,111.89
27,TXN-20240627-000011,110,71,2,41.81
28,TXN-20240627-000011,97,40,3,53.47
29,TXN-20240528-000012,237,72,1,46.4
30,TXN-20240528-000012,395,77,4,108.3
31,TXN-20240528-000012,594,68,3,97.79
32,TXN-20240731-000013,294,33,2,54.81
33,TXN-20240731-000013,395,56,2,102.24
34,TXN-20251007-000014,250,88,1,118.76
35,TXN-20240519-000015,590,46,2,124.18
36,TXN-20240519-000015,163,102,3,49.28
37,TXN-20240519-000015,338,49,3,95.74
38,TXN-20240519-000015,455,102,2,13.55
39,TXN-20250422-000016,572,57,4,153.19
40,TXN-20250422-000016,247,5,3,76.03
41,TXN-20250602-000017,510,5,4,
42,TXN-20250602-000017,54,43,3,88.53
43,TXN-20250125-000018,289,57,1,86.13
44,TXN-20250125-000018,226,1,1,138.85
45,TXN-20240927-000019,9,67,4,136.11
46,TXN-20240927-000019,71,97,2,10
47,TXN-20240927-000019,287,26,2,69.21
48,TXN-20250108-000020,103,23,3,136.21
49,TXN-20250108-000020,367,69,3,30.38
50,TXN-20250108-000020,215,3,3,61.95
51,TXN-20241127-000021,406,117,4,132.51
52,TXN-20241127-000021,94,83,2,
53,TXN-20251210-000022,196,52,1,156.34
54,TXN-20251210-000022,369,97,4,144.3
55,TXN-20240416-000023,219,56,2,130.24
56,TXN-20240416-000023,46,106,1,73.11
57,TXN-20240624-000024,565,15,2,63.99
58,TXN-20240624-000024,268,48,1,94.95
59,TXN-20241208-000025,437,112,4,67.1
60,TXN-20241208-000025,321,29,1,92.98
61,TXN-20241208-000025,256,,3,144.21
62,TXN-20250724-000026,34,5,3,14.31
63,TXN-20250724-000026,324,85,2,123.5
64,TXN-20250724-000026,116,111,3,35.07
65,TXN-20250724-000026,417,14,1,12.24
66,TXN-20251220-000027,507,48,4,133.64
67,TXN-20251220-000027,51,59,3,29.77
68,TXN-20251220-000027,341,55,4,89.14
69,TXN-20240702-000028,268,107,1,80.74
70,TXN-20240702-000028,270,94,4,111.6
71,TXN-20240418-000029,511,33,1,167.05
72,TXN-20240418-000029,576,42,1,112.05
73,TXN-20251118-000030,502,46,1,62.63
74,TXN-20251118-000030,504,36,4,103.47
75,TXN-20241023-000031,286,113,2,17.93
76,TXN-20241023-000031,267,58,2,88.55
77,TXN-20241023-000031,20,103,1,122.12
78,TXN-20241023-000031,45,10,1,99.78
79,TXN-20251104-000032,182,107,4,82.24
80,TXN-20251104-000032,455,27,1,13.61
81,TXN-20251104-000032,65,80,4,21.82
82,TXN-20251104-000032,518,106,1,9.1
83,TXN-20250705-000033,11,4,1,127.77
84,TXN-20250705-000033,272,68,2,102.4
85,TXN-20240819-000034,479,8,4,76.23
86,TXN-20240819-000034,49,105,3,129.05
87,TXN-20240819-000034,471,,1,43.83
88,TXN-20251205-000035,114,52,1,73.43
89,TXN-20251205-000035,485,31,3,5.67
90,TXN-20240415-000036,495,50,4,162.76
91,TXN-20240415-000036,439,6,4,6.39
92,TXN-20240415-000036,164,24,2,105.28
93,TXN-20240729-000037,155,52,1,143.89
94,TXN-20240729-000037,181,63,3,148.62
95,TXN-20240729-000037,228,101,2,15.77
96,TXN-20240729-000037,475,1,3,143.41
97,TXN-20250830-000038,294,93,4,56.34
98,TXN-20250830-000038,401,80,1,133.5
